order_placed_at_utc,order_category,item_count,actual_delivery_time_minutes,estimated_delivery_time_lower_minutes,estimated_delivery_time_upper_minutes,venue_location_h3_index,customer_location_h3_index,courier_supply_index,precipitation,estimate_width,estimate_midpoint,h3_grid_distance,h3_distance_km,venue_friction_score,distance_x_weather
2022-02-01 06:01:00+00:00,Retail,9,23.373547097494388,15.0,25.0,881126d307fffff,881126d307fffff,1.48,0.0,10.0,20.0,0,0.0,3.2052688715229807,0.0
2022-02-01 06:16:00+00:00,Food delivery,2,72.86412554467731,40.0,50.0,881126d339fffff,881126d311fffff,1.49,0.0,10.0,45.0,2,1.0,4.229858866242744,0.0
2022-02-01 06:46:00+00:00,Food delivery,3,48.737269393058675,30.0,40.0,881126d33dfffff,881126d331fffff,1.5,0.0,10.0,35.0,1,0.5,4.064211153054159,0.0
2022-02-01 07:17:00+00:00,Food delivery,5,37.74473233961906,35.0,45.0,881126d331fffff,881126d337fffff,1.56,0.0,10.0,40.0,1,0.5,4.688780331316055,0.0
2022-02-01 07:21:00+00:00,Retail,15,68.88113597178152,35.0,45.0,881126d06bfffff,881126d027fffff,1.58,0.0,10.0,40.0,4,2.0,2.9742945567361363,0.0
2022-02-01 07:21:00+00:00,Retail,10,48.01453170262863,25.0,35.0,881126d06bfffff,881126d061fffff,1.62,0.0,10.0,30.0,1,0.5,2.9742945567361363,0.0
2022-02-01 07:29:00+00:00,Food delivery,2,88.40036923965049,35.0,45.0,881126d315fffff,881126d33dfffff,1.69,0.0,10.0,40.0,2,1.0,3.0748837452532496,0.0
2022-02-01 07:36:00+00:00,Food delivery,3,33.28056878858224,30.0,40.0,881126d339fffff,881126d33dfffff,1.76,0.0,10.0,35.0,1,0.5,4.229858866242744,0.0
2022-02-01 07:56:00+00:00,Food delivery,2,22.853401792735855,20.0,30.0,881126d331fffff,881126d339fffff,1.84,0.0,10.0,25.0,1,0.5,4.688780331316055,0.0
2022-02-01 08:16:00+00:00,Food delivery,2,28.494441773688948,20.0,30.0,881126d061fffff,881126d06dfffff,1.91,0.4,10.0,25.0,1,0.5,3.335974153569731,0.2
2022-02-01 08:29:00+00:00,Food delivery,1,51.52303704853431,25.0,35.0,881126d307fffff,881126d15dfffff,1.94,0.4,10.0,30.0,4,2.0,3.2052688715229807,0.8
2022-02-01 08:42:00+00:00,Food delivery,3,15.187845025704384,20.0,30.0,881126d347fffff,881126d347fffff,1.97,0.4,10.0,25.0,0,0.0,3.875933984265193,0.0
2022-02-01 08:44:00+00:00,Food delivery,1,15.077011159782757,10.0,15.0,881126c22dfffff,881126c22dfffff,1.96,0.4,5.0,12.5,0,0.0,3.871003718491422,0.0
2022-02-01 08:46:00+00:00,Food delivery,4,30.925269213280753,30.0,40.0,881126d331fffff,881126d33dfffff,1.93,0.4,10.0,35.0,1,0.5,4.688780331316055,0.2
2022-02-01 08:46:00+00:00,Food delivery,1,19.25637038183431,25.0,35.0,881126d305fffff,881126d329fffff,1.94,0.4,10.0,30.0,1,0.5,3.094238844546397,0.2
2022-02-01 08:48:00+00:00,Food delivery,2,33.37034321998011,45.0,55.0,881126d219fffff,881126d203fffff,1.92,0.4,10.0,50.0,2,1.0,3.528376422250741,0.4
2022-02-01 08:52:00+00:00,Food delivery,1,47.55637038183431,25.0,35.0,881126d263fffff,881126d261fffff,1.94,0.4,10.0,30.0,1,0.5,4.165419163810144,0.2
2022-02-01 08:54:00+00:00,Food delivery,1,82.5397037152343,30.0,40.0,881126d263fffff,881126d22dfffff,1.94,0.4,10.0,35.0,2,1.0,4.165419163810144,0.4
2022-02-01 08:55:00+00:00,Food delivery,11,27.120445429038575,30.0,40.0,881126d33dfffff,881126d33bfffff,1.94,0.4,10.0,35.0,2,1.0,4.064211153054159,0.4
2022-02-01 08:57:00+00:00,Food delivery,2,46.10367655338011,20.0,30.0,881126d069fffff,881126d06bfffff,1.92,0.4,10.0,25.0,1,0.5,3.909612260368141,0.2
2022-02-01 09:00:00+00:00,Food delivery,1,23.78700988668011,25.0,35.0,881126d069fffff,881126d06bfffff,1.92,0.5,10.0,30.0,1,0.5,3.909612260368141,0.25
2022-02-01 09:01:00+00:00,Food delivery,1,21.631195522435597,10.0,20.0,881126d349fffff,881126d34dfffff,1.9,0.5,10.0,15.0,1,0.5,0.0,0.25
2022-02-01 09:03:00+00:00,Food delivery,1,17.735012125617363,25.0,35.0,881126d333fffff,881126d333fffff,1.88,0.5,10.0,30.0,0,0.0,2.8059590540819364,0.0
2022-02-01 09:04:00+00:00,Food delivery,1,30.802137278722263,15.0,25.0,881126d069fffff,881126d069fffff,1.86,0.5,10.0,20.0,0,0.0,3.909612260368141,0.0
2022-02-01 09:05:00+00:00,Food delivery,1,28.811543618670807,25.0,35.0,881126d1ebfffff,881126d1e1fffff,1.87,0.5,10.0,30.0,1,0.5,3.9511384302407677,0.25
2022-02-01 09:05:00+00:00,Food delivery,1,42.08547061202226,30.0,40.0,881126d06bfffff,881126d009fffff,1.86,0.5,10.0,35.0,2,1.0,2.9742945567361363,0.5
2022-02-01 09:07:00+00:00,Food delivery,2,66.56012441926296,35.0,45.0,881126d339fffff,881126d335fffff,1.89,0.5,10.0,40.0,2,1.0,4.229858866242744,0.5
2022-02-01 09:08:00+00:00,Retail,7,75.52777510698895,30.0,40.0,881126d209fffff,881126d203fffff,1.91,0.5,10.0,35.0,2,1.0,2.2571935533680394,0.5
2022-02-01 09:09:00+00:00,Food delivery,4,34.80637038183431,25.0,35.0,881126d33dfffff,881126d323fffff,1.94,0.5,10.0,30.0,1,0.5,4.064211153054159,0.25
2022-02-01 09:09:00+00:00,Food delivery,1,30.20367655338011,30.0,40.0,881126d36bfffff,881126d369fffff,1.92,0.5,10.0,35.0,1,0.5,1.7858953510792892,0.25
2022-02-01 09:15:00+00:00,Food delivery,6,63.52987027772401,25.0,35.0,881126d345fffff,881126d305fffff,1.93,0.5,10.0,30.0,3,1.5,4.4126751228498495,0.75
2022-02-01 09:17:00+00:00,Food delivery,1,46.20829777311296,20.0,30.0,881126d06dfffff,881126d061fffff,1.93,0.5,10.0,25.0,1,0.5,4.261943734540301,0.25
2022-02-01 09:20:00+00:00,Food delivery,1,29.123037048534307,35.0,45.0,881126d1c1fffff,881126d1c1fffff,1.94,0.5,10.0,40.0,0,0.0,3.175649837647823,0.0
